"","Date","Open","High","Low","Close","Volume","Adj.Close"
"51","2015-10-16",4530.280762,4544.817871,4501.062012,4521.881836,3764148400,4521.881836
"53","2015-10-13",4621.884766,4622.10791,4483.076172,4483.076172,4909813600,4483.076172
"54","2015-10-12",4596.876953,4639.942871,4595.942871,4630.707031,6596984000,4630.707031
"55","2015-10-09",4538.503906,4612.092773,4538.503906,4589.344238,6659067200,4589.344238
"56","2015-10-08",4502.096191,4537.25293,4484.675781,4491.433105,4013746000,4491.433105
"57","2015-10-07",4458.838867,4487.131836,4414.831055,4487.131836,4846353200,4487.131836
"58","2015-10-06",4381.274902,4464.900879,4381.274902,4445.780762,4734764800,4445.780762
"59","2015-10-05",4243.326172,4346.373047,4241.018066,4343.701172,3687221600,4343.701172
"60","2015-10-02",4243.966797,4252.673828,4207.798828,4207.798828,3529302800,4207.798828
"61","2015-10-01",4231.410156,4270.912109,4228.980957,4254.875977,3198882400,4254.875977
"62","2015-09-30",4189.474121,4223.908203,4168.224121,4223.908203,3685050400,4223.908203
"63","2015-09-29",4070.580078,4178.408203,4033.586914,4178.408203,3771684800,4178.408203
"64","2015-09-28",4197.939941,4199.462891,4120.50293,4120.50293,2843744200,4120.50293
"65","2015-09-25",4250.72998,4251.226074,4194.137207,4209.438965,3307883600,4209.438965
"66","2015-09-23",4308.756836,4308.979004,4239.134766,4244.426758,3419733600,4244.426758
"67","2015-09-22",4380.618164,4389.306152,4337.089844,4344.043945,3187401800,4344.043945
"68","2015-09-21",4352.367188,4382.240234,4343.413086,4376.082031,2782718800,4376.082031
"69","2015-09-18",4383.067871,4414.457031,4359.005859,4380.319824,4261098800,4380.319824
"70","2015-09-17",4346.058105,4389.36377,4341.823242,4378.384766,3114855600,4378.384766
"71","2015-09-16",4360.187988,4370.345215,4325.401855,4332.513184,3625093200,4332.513184
"72","2015-09-15",4372.870117,4376.782227,4334.61377,4347.160156,3334462200,4347.160156
"73","2015-09-14",4378.191895,4390.373047,4365.567871,4390.373047,2425324800,4390.373047
"74","2015-09-11",4363.449219,4381.654785,4360.36377,4360.467773,3210753200,4360.467773
"75","2015-09-10",4312.655762,4343.660156,4290.683105,4343.26123,3419897600,4343.26123
"76","2015-09-09",4347.484863,4366.245117,4323.556152,4347.276855,3658179600,4347.276855
"77","2015-09-08",4282.172852,4325.430176,4269.476074,4318.59082,3292284000,4318.59082
"78","2015-09-07",4397.222168,4398.008789,4297.820801,4301.365234,2863734800,4301.365234
"79","2015-09-04",4422.464844,4433.545898,4407.134766,4415.342773,2829458200,4415.342773
"80","2015-09-03",4427.953125,4445.808105,4404.875,4433.11084,3152570400,4433.11084
"81","2015-09-02",4367.810059,4417.371094,4350.48291,4401.292969,3559725600,4401.292969
"82","2015-09-01",4484.204102,4484.789062,4411.130859,4412.458984,2959970000,4412.458984
"83","2015-08-31",4447.00293,4509.606934,4442.690918,4509.606934,3315128800,4509.606934
"84","2015-08-28",4480.106934,4511.24707,4433.658203,4446.201172,4176151600,4446.201172
"85","2015-08-27",4295.696777,4433.458008,4295.696777,4430.631836,4545686400,4430.631836
"86","2015-08-26",4200.820801,4237.73291,4161.211914,4237.73291,3573908000,4237.73291
"87","2015-08-25",4182.216797,4301.774902,4182.022949,4228.500977,4495985200,4228.500977
"88","2015-08-24",4241.307129,4241.912109,4111.111816,4163.729004,3841952400,4163.729004
"89","2015-08-21",4401.668945,4401.668945,4335.953125,4335.953125,3350960000,4335.953125
"90","2015-08-20",4470.553223,4473.083008,4427.865234,4441.911133,3213185200,4441.911133
"91","2015-08-19",4502.194824,4529.250977,4476.126953,4484.242188,2736435000,4484.242188
"92","2015-08-18",4572.349121,4579.082031,4505.213867,4510.478027,3087145000,4510.478027
"93","2015-08-14",4587.51123,4594.567871,4559.85791,4585.391113,3196551200,4585.391113
"94","2015-08-13",4481.271973,4600.549805,4481.271973,4584.25,3796424000,4584.25
"95","2015-08-12",4572.047852,4572.047852,4455.719238,4479.491211,3717424800,4479.491211
"96","2015-08-11",4763.632812,4771.721191,4619.286133,4622.59082,4129172400,4622.59082
"97","2015-08-10",4761.405762,4764.73877,4720.913086,4748.949219,2917027200,4748.949219
"98","2015-08-07",4801.654785,4804.329102,4760.904785,4770.303223,2900340800,4770.303223
"99","2015-08-06",4855.939941,4868.074219,4806.563965,4806.563965,3069769200,4806.563965
"100","2015-08-05",4786.391113,4850.532227,4780.964844,4850.532227,3715033200,4850.532227
"101","2015-08-04",4784.151855,4805.820801,4771.88623,4781.086914,3143437200,4781.086914
"102","2015-08-03",4778.043945,4815.522949,4774.780762,4800.182129,2764801200,4800.182129
"103","2015-07-31",4721.658203,4802.528809,4721.466797,4802.528809,3249055600,4802.528809
"104","2015-07-30",4740.251953,4754.721191,4711.562988,4712.492188,3110994800,4712.492188
"105","2015-07-29",4733.817871,4765.734863,4720.400879,4721.121094,3106905000,4721.121094
"106","2015-07-28",4747.345215,4749.749023,4711.491211,4714.755859,3099580600,4714.755859
"107","2015-07-27",4833.145996,4848.704102,4771.285156,4771.285156,3374282000,4771.285156
"108","2015-07-24",4890.778809,4892.412109,4848.727051,4856.595215,2516975200,4856.595215
"109","2015-07-23",4897.205078,4913.041992,4889.831055,4902.845215,3109886600,4902.845215
"110","2015-07-22",4887.736816,4906.688965,4859.459961,4906.688965,2823552800,4906.688965
"111","2015-07-15",4894.948242,4897.859863,4854.453125,4869.849121,2602155600,4869.849121
"112","2015-07-14",4907.866211,4927.373047,4892.12207,4901.807129,3009241800,4901.807129
"113","2015-07-13",4862.912109,4898.13623,4861.314941,4893.916992,2477003400,4893.916992
"114","2015-07-10",4858.984863,4882.641113,4845.785156,4859.03418,3739313600,4859.03418
"115","2015-07-09",4849.801758,4855.133789,4811.904785,4838.28418,3382476000,4838.28418
"116","2015-07-08",4912.637207,4912.637207,4856.441895,4871.570801,4259974400,4871.570801
"117","2015-07-07",4918.283203,4927.550781,4891.047852,4906.049805,3336479000,4906.049805
"118","2015-07-06",4946.100098,4960.994141,4913.286133,4916.741211,3194584000,4916.741211
"119","2015-07-03",4940.276855,4982.910156,4937.40918,4982.910156,3739352400,4982.910156
"120","2015-07-02",4914.424805,4966.579102,4914.424805,4944.780762,4076242400,4944.780762
"121","2015-07-01",4924.065918,4932.433105,4904.062988,4904.062988,3328123800,4904.062988
"122","2015-06-30",4887.369141,4930.25,4874.069824,4910.658203,2798979600,4910.658203
"123","2015-06-29",4896.23291,4896.589844,4858.416016,4882.578125,2606552400,4882.578125
"124","2015-06-26",4917.026855,4942.325195,4897.89502,4923.004883,2549893400,4923.004883
"125","2015-06-25",4944.131836,4945.839844,4920.041992,4920.041992,3076894200,4920.041992
"126","2015-06-24",4953.25293,4973.480957,4938.129883,4953.516113,3780212800,4953.516113
"127","2015-06-23",4966.880859,4972.175781,4937.647949,4937.647949,2905044800,4937.647949
"128","2015-06-22",4992.041992,4992.041992,4957.346191,4959.251953,2383486600,4959.251953
"129","2015-06-19",4958.858887,4988.579102,4958.858887,4985.005859,2509105600,4985.005859
"130","2015-06-18",4947.962891,4964.404785,4932.918945,4945.499023,2927278800,4945.499023
"131","2015-06-17",4894.63623,4955.564941,4894.63623,4945.75293,3765870400,4945.75293
"132","2015-06-16",4847.38916,4892.504883,4826.129883,4872.599121,3396086800,4872.599121
"133","2015-06-15",4925.214844,4926.547852,4837.793945,4837.793945,3060194000,4837.793945
"134","2015-06-12",4933.878906,4947.50293,4916.024902,4935.816895,3255912800,4935.816895
"135","2015-06-11",4971.191895,4979.259766,4911.34082,4928.812012,3217722800,4928.812012
"136","2015-06-10",4914.743164,4974.024902,4912.833984,4933.557129,4387740800,4933.557129
"137","2015-06-09",5002.23291,5002.545898,4852.76416,4899.881836,3962655600,4899.881836
"138","2015-06-08",5086.353027,5088.929199,5006.429199,5014.992188,3472658000,5014.992188
"139","2015-06-05",5081.611816,5100.571777,5075.175781,5100.571777,2820107600,5100.571777
"140","2015-06-04",5121.553223,5143.224121,5094.518066,5095.820801,3241455600,5095.820801
"141","2015-06-03",5201.355957,5205.562012,5129.48584,5130.499023,3374877600,5130.499023
"142","2015-06-01",5212.133789,5215.549805,5183.323242,5213.815918,2997851200,5213.815918
"143","2015-05-29",5230.314941,5252.205078,5214.570801,5216.378906,5867470000,5216.378906
"144","2015-05-28",5263.313965,5278.416992,5232.934082,5237.400879,3315003600,5237.400879
"145","2015-05-27",5296.236816,5315.50293,5253.388184,5253.388184,3633964000,5253.388184
"146","2015-05-26",5285.065918,5347.132812,5284.109863,5320.900879,3770189200,5320.900879
"147","2015-05-25",5309.833984,5311.293945,5285.421875,5288.361816,3219856000,5288.361816
"148","2015-05-22",5319.964844,5329.021973,5298.856934,5315.152832,3188520800,5315.152832
"149","2015-05-21",5309.98584,5335.440918,5275.986816,5313.208008,4014591200,5313.208008
"150","2015-05-20",5288.209961,5312.903809,5278.101074,5292.749023,3883119600,5292.749023
"151","2015-05-19",5236.903809,5273.487793,5219.567871,5269.371094,3497895600,5269.371094
"152","2015-05-18",5222.435059,5239.871094,5218.353027,5237.811035,3894564400,5237.811035
"153","2015-05-15",5252.426758,5264.928223,5214.077148,5227.096191,3942042400,5227.096191
"154","2015-05-13",5217.14502,5254.86377,5199.208984,5246.132812,4707012000,5246.132812
"155","2015-05-12",5175.954102,5217.109863,5173.525879,5205.611816,4170292800,5205.611816
"156","2015-05-11",5200.810059,5215.280762,5172.481934,5172.481934,3686356800,5172.481934
"157","2015-05-08",5175.78418,5200.524902,5175.753906,5182.212891,4435963600,5182.212891
"158","2015-05-07",5155.328125,5183.491211,5137.815918,5150.48584,4833262400,5150.48584
"159","2015-05-06",5133.73584,5184.950195,5121.145996,5184.950195,3163394000,5184.950195
"160","2015-05-05",5153.759766,5202.082031,5130.638184,5160.308105,3883253200,5160.308105
"161","2015-05-04",5093.333984,5171.086914,5089.417969,5141.137207,3735144800,5141.137207
"162","2015-04-30",5087.924805,5141.49707,5030.255859,5086.424805,3871130000,5086.424805
"163","2015-04-29",5229.560059,5237.210938,5015.007812,5105.562988,4710286400,5105.562988
"164","2015-04-28",5211.138184,5242.157227,5164.741211,5242.157227,3604219200,5242.157227
"165","2015-04-27",5398.562012,5403.594238,5224.025879,5245.445801,4943398800,5245.445801
"166","2015-04-24",5451.775879,5464.34082,5424.76416,5435.35498,3122977600,5435.35498
"167","2015-04-23",5441.710938,5464.335938,5430.282227,5436.208984,3995937200,5436.208984
"168","2015-04-22",5452.460938,5458.202148,5426.205078,5437.119141,4210305200,5437.119141
"169","2015-04-21",5406.621094,5460.573242,5405.00293,5460.573242,4373074400,5460.573242
"170","2015-04-20",5406.763184,5407.062012,5383.25293,5400.803223,3958477600,5400.803223
"171","2015-04-17",5418.012207,5428.930176,5410.644043,5410.644043,3718378400,5410.644043
"172","2015-04-16",5420.890137,5428.222168,5401.679199,5420.73291,5264554800,5420.73291
"173","2015-04-15",5426.22998,5430.069824,5394.306152,5414.546875,4026615200,5414.546875
"174","2015-04-14",5438.528809,5448.448242,5397.728027,5419.106934,3964685200,5419.106934
"175","2015-04-13",5479.733887,5486.882812,5430.918945,5447.40918,3809344800,5447.40918
"176","2015-04-10",5504.242188,5509.000977,5471.398926,5491.339844,4389634000,5491.339844
"177","2015-04-09",5494.545898,5500.899902,5478.513184,5500.899902,4128758400,5500.899902
"178","2015-04-08",5513.979004,5518.800781,5476.891113,5486.583984,4180636000,5486.583984
"179","2015-04-07",5502.316895,5523.290039,5493.84082,5523.290039,4633408000,5523.290039
"180","2015-04-06",5467.696777,5489.603027,5465.606934,5480.030762,3508819200,5480.030762
"181","2015-04-02",5480.164062,5489.640137,5436.954102,5456.398926,4663220000,5456.398926
"182","2015-04-01",5516.797852,5524.036133,5454.533203,5466.867188,4434522400,5466.867188
"183","2015-03-31",5490.975098,5518.674805,5484.045898,5518.674805,4610963600,5518.674805
"184","2015-03-30",5415.279785,5459.746094,5411.969238,5438.655762,4545550000,5438.655762
"185","2015-03-27",5352.744141,5397.84082,5350.470215,5396.854004,3263159600,5396.854004
"186","2015-03-26",5381.02002,5413.287109,5368.670898,5368.799805,4677875200,5368.799805
"187","2015-03-25",5437.742188,5440.450195,5396.412109,5405.48877,5016012000,5405.48877
"188","2015-03-24",5440.587891,5457.945801,5434.463867,5447.647949,3881672000,5447.647949
"189","2015-03-23",5455.878906,5467.940918,5437.098145,5437.098145,5381109200,5437.098145
"190","2015-03-20",5433.150879,5453.692871,5423.277832,5443.064941,5168381600,5443.064941
"191","2015-03-19",5445.066895,5461.296875,5444.104004,5453.854004,4734546000,5453.854004
